model,average_precision,balanced_accuracy,precision_extreme,recall_extreme,f1_extreme,mcc,auroc,training_seconds,inference_seconds,family,n_features,angular_scaler,feature_map,reps,kernel_seconds
Q_farooq_pipeline,0.8541666666666666,0.9444444444444444,0.5,1.0,0.6666666666666666,0.6666666666666666,0.9791666666666666,0.0013277599991852185,,qsvm,2,minmax_0_1,ZZFeatureMap,1.0,14.697338050000326
logistic,0.7708333333333333,0.8472222222222222,0.6,0.75,0.6666666666666666,0.629940788348712,0.9722222222222222,0.0031413369997608243,0.0002963520000776043,classical,8,,,,
svm_linear,0.7152777777777777,0.5,0.0,0.0,0.0,0.0,0.951388888888889,0.008745670998905553,0.0024307650000992,classical,8,,,,
svm_rbf,0.5681818181818181,0.5,0.0,0.0,0.0,0.0,0.8819444444444444,0.007679244999962975,0.0026210690011794213,classical,8,,,,
Q_farooq_0pi,0.18890692640692638,0.5,0.1,0.25,0.14285714285714285,0.0,0.5694444444444444,0.0012114299988752464,,qsvm,2,minmax_0_pi,ZZFeatureMap,2.0,16.228569486998822
dummy,0.1,0.5,0.0,0.0,0.0,0.0,0.5,0.00018546499995863996,0.00033577499925740995,classical,8,,,,
