model,family,n_seeds,accuracy_mean,accuracy_std,average_precision_mean,average_precision_std,f1_extreme_mean,f1_extreme_std,precision_extreme_mean,precision_extreme_std,recall_extreme_mean,recall_extreme_std,balanced_accuracy_mean,balanced_accuracy_std,auroc_mean,auroc_std,mcc_mean,mcc_std
logistic,classical,5,0.8125,0.04238956239453295,0.35907076706325974,0.07076183781417458,0.4180963863722484,0.06051351022465263,0.3107643467643468,0.05571702012263433,0.675,0.18957188610128875,0.7513888888888889,0.07692363336693328,0.8326388888888889,0.041058201923806284,0.3665936538995684,0.0883940082448817
Q_farooq_pipeline,qsvm,5,0.725,0.07905694150420946,0.3468664362050566,0.12503802463331035,0.34720267417311745,0.05179148996884973,0.23188153310104526,0.03978229343699428,0.725,0.18540496217739158,0.725,0.05925202502139316,0.7923611111111112,0.04135079926116345,0.2952610761181134,0.07268380938963584
svm_linear,classical,5,0.8949999999999999,0.006846531968814612,0.33466167016718534,0.07939761492814623,0.0,0.0,0.0,0.0,0.0,0.0,0.49722222222222223,0.00380362887156364,0.8135416666666666,0.02983384575651381,-0.015001172012346986,0.020541200750444025
svm_rbf,classical,5,0.9,0.0,0.3339264578507473,0.12160825729605174,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7708333333333333,0.08404463501708076,0.0,0.0
Q_farooq_0pi,qsvm,5,0.6900000000000001,0.06869315832017044,0.24437971635592595,0.03565334858493393,0.25430055307787114,0.07092036943032755,0.16978443551333575,0.04230490102698445,0.55,0.27386127875258304,0.6277777777777778,0.10663736576724772,0.6940972222222221,0.09855699561690622,0.16452467183950872,0.12525986193591565
dummy,classical,5,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
